Andrea C. Arpaci-Dusseau, University of Wisconsin
Mahesh Balakrishnan, Yale University
Andrew Baumann, Microsoft Research
Frank Bellosa, Karlsruhe Institute of Technology
Herbert Bos, VU University
Edouard Bugnion, EPFL
Cristian Cadar, Imperial College London
Marco Canini, KAUST
Haibo Chen, Shanghai Jiao Tong University
Shimin Chen, Chinese Academy of Sciences
Byung-Gon Chun, Seoul National University
Fred Douglis, Dell EMC
Pascal Felber, University of Neuchatel
Anja Feldmann, TU Berlin
Paulo Ferreira, University of Lisbon
Christof Fetzer, TU Dresden
Ada Gavrilovska, Georgia Tech
Ioana Giurgiu, IBM Research Zurich
Steven Hand, Google
Tim Harris, Oracle Labs
Valérie Issarny, INRIA
Evangelia Kalyvianaki, City University London
Idit Keidar, Technion
Anne-Marie Kermarrec, INRIA
Christoph Kirsch, University of Salzburg
Dejan Kostic, Royal Institute of Technology
Orran Krieger, Boston University
Jean-Pierre Lozi, University of Nice Sophia Antipolis
Kathryn McKinley, Microsoft Research
Ishai Menache, Microsoft Research
Ippokratis Pandis, Amazon
Marta Patiño, Technical University of Madrid
Raluca Ada Popa, UC Berkeley
Peter Pietzuch, Imperial College London
Mema Roussopoulos, University of Athens
Ant Rowstron, Microsoft Research Cambridge
Marco Serafini, Qatar Computing Research Institute
Dilma da Silva, Texas A&M University
Susan Spence, Hewlett Packard Labs
Neeraj Suri, TU Darmstadt
Dan Tsafrir, Technion
Jens Teubner, TU Dortmund
Nalini Venkatasubramanian, UC Irvine
Paulo Veríssimo, University of Luxemburg
Roger Wattenhofer, ETH Zurich
Zheng Zhang, NYU Shanghai
Noa Zilberman, University of Cambridge
