Ashutosh Sabharwal
Prasun Sinha
Sharad Agarwal
Ehsan Aryafar
Victor Bahl
Aruna Balasubramanian
Giuseppe Bianchi
Joseph Camp
Ranveer Chandra
Yingying (Jennifer)
Song Chong
Romit Roy
Samir Das
Supratim Deb
Prabal Dutta
Christina Fragouli
Mario Gerla
Shyamnath Gollakota
Ben Greenstein
Marco Gruteser
Omer Gurewitz
Polly Huang
Kyle Jamieson
Edward Knightly
Sung-Ju Lee
Baochun Li
Xiangyang Li
Kate Lin
Songwu Lu
Thomas Moscibroda
Thyaga Nandagopal
Vishnu Navda
Srihari Nelakuditi
Jason Nieh
Chunyi Peng
Chiara Petriolli
Lili Qiu
Souvik Sen
Srinivasan Seshan
Raghupathy Sivakumar
Alex Snoeren
Kannan Srinivasan
Lakshmi Subramanian
Karthikeyan Sundaresan
Nitin Vaidya
Arun Venkataramani
Xinbing Wang
Matt Welsh
Joerg Widmer
Ho Yin
Guoliang Xing
Moustafa Youssef
Lin Zhong
