Y. Charlie Hu
Karthik Sundaresan
Mustafa Arslan
Ehsan Aryafar
Victor Bahl
Aruna Balasubramanian
Milind Buddhikot
Srdjan Capkun
Eugene Chai
Ranveer Chandra
Yingying Chen
Sunghyun Choi
Saumitra 
Sonia Fahmy
Christina Fragouli
Shyamnath Gollakota
Ben Greenstein
Marco Gruteser
Maruti Gupta
Haitham Hassanieh
Tian He
Wenjun Hu
Kyle 
Sneha Kasera
Kyu-Han Kim
Dimitrios Koutsonikolas
Swarun Kumar
Sung-Ju Lee
Mo Li
Erran Li
Kate Lin
Songwu Lu
Petri Mähönen
Z. Morley
Thomas Moscibroda
Thyagarajan Nandagopal
Jason Nieh
Guevara Noubir
Panos Papadimitratos
Giovanni Pau
Chunyi Peng
Feng Qian
Lili Qiu
Bozidar Radunovic
Sivakumar Raghupathy
Ashutosh Sabarwal
Souvik Sen
Muhammad Shahzad
Ashish Sharma
Doug 
Prasun Sinha
Kannan Srinivasan
Kun Tan
Jacobus Van
Matt Welsh
Jie Xiong
Xinyu Zhang
Heather Zheng
Xia Zhou
Gil Zussman
