Kobus Van der Merwe
Ben Greenstein
Kannan Srinivasan
Fadel Adib
Sharad Agarwal
Victor Bahl
Aruna Balasubramanian
Tarun Bansal
Elizabeth Belding
Srdjan Capkun
Geoffrey Challen
Ranveer Chandra
Bo Chen
Yingying Chen
David Chu
Samir R. Das
Christina Fragouli
Mario Gerla
Shyamnath Gollakota
Marco Gruteser
Haitham Hassanieh
Tian He
Wenjun Hu
Y. Charlie
Polly Huang
Kyle Jamieson
Sneha Kasera
Dimitrios Koutsonikolas
Robin Kravets
Srikanth Krishnamurthy
Swarun Kumar
Sung-Ju Lee
Mo Li
Robert LiKamWa
Songwu Lu
Thomas Moscibroda
Thyaga Nandagopal
Vishnu Navda
Srihari Nelakuditi
Jason Nieh
Panos Papadimitratos
Giovanni Pau
Chunyi Peng
Chiara Petriolli
Matthai Philipose
Lili Qiu
Bozidar Radunovic
Eric Rozner
Ashutosh Sabarwal
Souvik Sen
Prasun Sinha
Raghupathy Sivakumar
Josh Smith
Lakshmi Subramanian
Karthik Sundaresan
Andreas Terzis
He Wang
Matt Welsh
Jie Xiong
Xinyu Zhang
Heather Zheng
Lin Zhong
Xia Zhou
