Paul Barham, Google
Arvind Krishnamurthy, University of Washington
Atul Adya, Google
Aditya Akella, University of Wisconsin–Madison
Katerina Argyraki, EPFL
Hitesh Ballani, Microsoft Research Cambridge
Suman Banerjee, University of Wisconsin–Madison
Jeff Chase, Duke University
Jeff Dean, Google
Prabal Dutta, University of Michigan
Nick Feamster, Princeton University
Rodrigo Fonseca, Brown University
Deepak Ganesan, University of Massachusetts Amherst
Sharon Goldberg, Boston University
Andreas Haeberlen, University of Pennsylvania
Mark Handley, University College London
Jon Howell, Microsoft Research Redmond
Jaeyeon Jung, Microsoft Research Redmond
Sachin Katti, Stanford University
Ethan Katz-Bassett, University of Southern California
Kim Keeton, HP Labs
Changhoon Kim, Barefoot Networks
Eddie Kohler, Harvard University
Dejan Kostic, KTH Royal Institute of Technology
Kate Lin, Academia Sinica Taiwan
David Maltz, Microsoft Redmond
Petros Maniatis, Google
Alan Mislove, Northeastern University
Richard Mortier, University of Nottingham
Dushyanth Narayanan, Microsoft Research Cambridge
Venkat Padmanabhan, Microsoft Research India
KyoungSoo Park, KAIST
George Porter, University of California, San Diego
Rama Ramasubramanian, Google
Franzi Roesner, University of Washington
Srinivasan Seshan, Carnegie Mellon University
Neil Spring, University of Maryland
Lakshmi Subramanian, New York University
Kobus van der Merwe, University of Utah
Robbert van Renesse, Cornell University
Geoff Voelker, University of California, San Diego
Hakim Weatherspoon, Cornell University
Matei Zaharia, MIT CSAIL and Databricks
Nickolai Zeldovich, MIT CSAIL
Lidong Zhou, Microsoft Research Asia
Nick Feamster, Princeton University
Casey Henderson, USENIX Association
Arvind Krishnamurthy, University of Washington
Brian Noble, University of Michigan
Jennifer Rexford, Princeton University
Mike Schroeder
Alex C. Snoeren, University of California, San Diego
