Katerina Argyraki, EPFL
Rebecca Isaacs, Google
Aditya Akella, University of Wisconsin—Madison
Mohammad Alizadeh, Massachusetts Institute of Technology
Mona Attariyan, Google
Hari Balakrishnan, Massachusetts Institute of Technology
Mahesh Balakrishnan, Yale University
Aruna Balasubramanian, Stony Brook University
Sujata Banerjee, HP Labs
Paul Barford, University of Wisconsin—Madison and comScore
Ranjita Bhagwan, Microsoft Research India
Nathan Bronson, Facebook
Paolo Costa, Microsoft Research
Paul Francis, Max Planck Institute for Software Systems (MPI-SWS)
Monia (Manya) Ghobadi, Microsoft Research
Shyam Gollakota, University of Washington
Jon Howell, Google
Kyle Jamieson, Princeton University
Srikanth Kandula, Microsoft
Brad Karp, University College London
S. Keshav, University of Waterloo
Changhoon Kim, Barefoot Networks
Ramakrishna Kotla, Amazon
Jinyang Li, New York University
David Lie, University of Toronto
Kate C.-J. Lin, Academia Sinica, Taiwan
Wyatt Lloyd, University of Southern California
Jay Lorch, Microsoft Research
Ratul Mahajan, Microsoft Research
Prateek Mittal, Princeton University
Thomas Moscibroda, Microsoft Research
David Oran, Cisco Systems
Oriana Riva, Microsoft Research
Vyas Sekar, Carnegie Mellon University
Siddhartha Sen, Microsoft Research
Srinivasan Seshan, Carnegie Mellon University
Ankit Singla, ETH Zürich
Jonathan Smith, University of Pennsylvania
Alex Snoeren, University of California, San Diego
Kobus Van der Merwe, University of Utah
Laurent Vanbever, ETH Zürich
Matt Welsh, Google

