Aditya Akella, University of Wisconsin–Madison
Jon Howell, Google
Sharad Agarwal, Microsoft
Tom Anderson, University of Washington
Andrea Arpaci-Dusseau, University of Wisconsin—Madison
Anirudh Badam, Microsoft
Mahesh Balakrishnan, Yale University
Fabian Bustamante, Northwestern University
Ranveer Chandra, Microsoft
David Choffnes, Northeastern University
Romit Roy Choudhury, University of Illinois at Urbana-Champaign
Mosharaf Chowdhury, University of Michigan
Mike Dahlin, Google
Anja Feldmann, Technische Universität Berlin
Rodrigo Fonseca, Brown University
Nate Foster, Cornell University
Deepak Ganesan, University of Massachusetts Amherst
Phillipa Gill, University of Massachusetts Amherst
Srikanth Kandula, Microsoft
Teemu Koponen, Styra
Sanjeev Kumar, Uber
Swarun Kumar, Carnegie Mellon University
Wyatt Lloyd, University of Southern California
Boon Thau Loo, University of Pennsylvania
Jacob Lorch, Microsoft
Ratul Mahajan, Microsoft
Dahlia Malkhi, VMware
Dave Maltz, Microsoft
Z. Morley Mao, University of Michigan
Michael Mitzenmacher, Harvard University
Jason Nieh, Columbia University
George Porter, University of California, San Diego
Luigi Rizzo, University of Pisa
Srini Seshan, Carnegie Mellon University
Anees Shaikh, Google
Ankit Singla, ETH Zurich
Robbert van Renesse, Cornell University
Geoff Voelker, University of California, San Diego
David Wetherall, Google
Adam Wierman, California Institute of Technology
John Wilkes, Google
Minlan Yu, University of Southern California
Heather Zheng, University of California, Santa Barbara
Lin Zhong, Rice University
