Thorsten Altenkirch, Member
Nada Amin, , Member
Gilles Barthe , Member
Mark Batty , Member
Lars Birkedal , Member
Pavol Cerny , Member
James Cheney , Member
Koen Claessen , Member
William Cook , Member
Karl Crary , Member
Loris D'Antoni , Member
Mila Dalla Preda , Member
Isil Dillig , Member
Sophia Drossopoulou , Member
Constantin Enea , Member
Azadeh Farzan , Member
Xinyu Feng , Member
Atsushi Igarashi , Member
Laura Kovacs , Member
Neelakantan R. Krishnaswami , Member
Sorin Lerner , Member
Xavier Leroy , Member
Conor McBride , Member
Mira Mezini , Member
Matthew Might , Member
Peter Müller , Member
Santosh Nagarakatte , Member
Aleksandar Nanevski , Member
Klaus Ostermann , Member
Ruzica Piskac , Member
Nadia Polikarpova , Member
Zvonimir Rakamaric , Member
Aseem Rastogi , Member
Grigore Rosu , Member
Andrey Rybalchenko , Member
Amr Sabry , Member
David Sands , Member
Davide Sangiorgi , Member
Peter Sewell , Member
Zhong Shao , Member
Yannis Smaragdakis , Member
Zhendong Su , Member
Éric Tanter , Member
Zachary Tatlock , Member
Tachio Terauchi , Member
Viktor Vafeiadis , Member
Philip Wadler , Member
David Walker , Member
Stephanie Weirich , Member
Jean Yang , Member
Danfeng Zhang , Member
